"problem_id","problem_summary","target_user","problem_strength_0_10","current_workflow_summary","BEST_NON_AI_SYSTEM","non_ai_strength_0_10","what_non_ai_handles_well","what_non_ai_cannot_reasonably_handle","BEST_MODEL_ENABLED_SYSTEM","model_type_needed","model_indispensable_capability","model_necessity_0_10","AI_classification","product_core_loop","product_loop_strength_0_10","30_second_demo","demo_strength_0_10","practical_value_0_10","evaluation_possible","implementation_risk","high_stakes_dependency","source_strength","reviewer_confidence","decision","decision_reason","algorithm_trap"
"P095","Complete accessible health visit","disabled patients","8","plan transport appointment communication","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","disabled patients -> instructions access needs -> none interpretation or deterministic decision -> completed visit -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","8","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P096","Understand service information","disabled people","8","read signs forms announcements","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","disabled people -> audio forms signs -> CV/audio/speech/HTR interpretation or deterministic decision -> accessible information -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P097","Learn technology for routines","disabled adults","6","execute task steps with device","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","disabled adults -> task steps device actions -> none interpretation or deterministic decision -> usable routine -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P098","Match and train support technology","providers families","6","observe routines device use","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","providers families -> observations device use -> none interpretation or deterministic decision -> matched support -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P099","Plan barrier-free trip","disabled people","6","inspect route space","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","8","AI-STRONGLY-JUSTIFIED","disabled people -> place route obstacles -> none interpretation or deterministic decision -> accessible route -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","True"
"P100","Share needs across transitions","caregivers disabled people","6","retell history instructions","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","caregivers disabled people -> speech reports records -> CV/audio/speech/HTR interpretation or deterministic decision -> understood handoff -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P101","Coordinate daily care routine","caregivers older adults","6","manage care cleaning supplies","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","caregivers older adults -> routine inventory notes -> none interpretation or deterministic decision -> completed routine -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","L-M","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P102","Check fall fire hazards","caregivers older adults","8","walk through home","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","caregivers older adults -> room photos alarms -> CV/audio/speech/HTR interpretation or deterministic decision -> hazard action -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","L-M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P103","Review subtle technique","youth coaches","7","record rewind frame review","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","youth coaches -> video sport context -> CV/audio/speech/HTR interpretation or deterministic decision -> technique feedback -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P104","Receive remote practice review","remote athletes coaches","6","send recorded drill","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","remote athletes coaches -> video goals notes -> CV/audio/speech/HTR interpretation or deterministic decision -> consistent review -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P105","Collect injury illness reports","amateur teams","8","request self report","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","amateur teams -> reports dates participation -> none interpretation or deterministic decision -> timely record -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","8","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P106","Manage individual training load","coaches athletes","6","combine sessions recovery","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","coaches athletes -> load wellness GPS -> none interpretation or deterministic decision -> load decision -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P107","Hand off sensitive participation status","coaches physios","6","share messages forms","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","coaches physios -> health notes logs -> none interpretation or deterministic decision -> informed status -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P108","Compare movement to prescription","recovering athletes","7","practice between sessions","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","recovering athletes -> video prescription history -> CV/audio/speech/HTR interpretation or deterministic decision -> movement comparison -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P109","Report local flood conditions","residents emergency staff","7","submit geotagged observation","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","residents emergency staff -> photo water level text -> CV/audio/speech/HTR interpretation or deterministic decision -> usable observation -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P110","Document hyperlocal pollution","residents agencies","6","submit sensor photo report","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-NATIVE","residents agencies -> sensor photo location -> CV/audio/speech/HTR interpretation or deterministic decision -> actionable report -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P111","Report dumping spills anomalies","volunteers authorities","6","observe many sites","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","volunteers authorities -> photos sensor location -> CV/audio/speech/HTR interpretation or deterministic decision -> escalated incident -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P112","Collect seasonal species observations","volunteers ecologists","7","identify and submit observations","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","volunteers ecologists -> photo audio date location -> CV/audio/speech/HTR interpretation or deterministic decision -> usable record -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P113","Classify plastic-litter surveys","community NGOs","6","aggregate site observations","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","community NGOs -> photos categories counts -> CV/audio/speech/HTR interpretation or deterministic decision -> QA record -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P114","Verify volunteer reports","coordinators","6","compare heterogeneous observations","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","7","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","LLM/VLM/document model","WITHOUT THE MODEL, semantic triage or extraction would be slower and less flexible, but structured forms, retrieval, templates, and human review still solve the core need.","6","AI-HELPFUL-BUT-NOT-NECESSARY","coordinators -> records calibration metadata -> LLM/VLM/document model interpretation or deterministic decision -> fitness decision -> human feedback/record","6","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P115","Retain environmental volunteers","coordinators","6","maintain participation","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","7","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","LLM/VLM/document model","WITHOUT THE MODEL, semantic triage or extraction would be slower and less flexible, but structured forms, retrieval, templates, and human review still solve the core need.","6","AI-HELPFUL-BUT-NOT-NECESSARY","coordinators -> participation history -> LLM/VLM/document model interpretation or deterministic decision -> engagement action -> human feedback/record","6","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","5","6","YES","LOW","NONE","H","HIGH","KILL","Models may compress unstructured interpretation but a strong source-bound non-AI workflow remains plausible.","False"
"P116","Turn report into action","community agencies","6","validate and route observation","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","8","AI-STRONGLY-JUSTIFIED","community agencies -> multimodal report threshold -> none interpretation or deterministic decision -> response action -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","True"
"P117","Find correct media asset","small teams","6","search scattered drives","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","LLM/VLM/document model","WITHOUT THE MODEL, semantic triage or extraction would be slower and less flexible, but structured forms, retrieval, templates, and human review still solve the core need.","8","AI-STRONGLY-JUSTIFIED","small teams -> media metadata brief -> LLM/VLM/document model interpretation or deterministic decision -> correct asset -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","LOW","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P118","Resolve video feedback","producers editors clients","6","collect time comments","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","producers editors clients -> video comments stage -> CV/audio/speech/HTR interpretation or deterministic decision -> approved revision -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","H","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P119","Manage production handoff","producers editors","6","transfer footage proxy transcript","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","producers editors -> media files task status -> CV/audio/speech/HTR interpretation or deterministic decision -> ready handoff -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P120","Know ownership and status","team managers","6","assign assets approvals","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","team managers -> brief versions messages -> none interpretation or deterministic decision -> clear status -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","M","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P121","Create accessible video deliverable","producers viewers","8","caption transcribe describe","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","producers viewers -> audio video transcript -> CV/audio/speech/HTR interpretation or deterministic decision -> accessible deliverable -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P122","Plan food purchase to meals","shoppers cooks","6","check pantry plan buy","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","shoppers cooks -> inventory meal receipts -> none interpretation or deterministic decision -> appropriate purchase -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P123","Track leftovers safely","cooks","6","remember item date storage","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","cooks -> leftover date photo -> CV/audio/speech/HTR interpretation or deterministic decision -> usable reminder -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","H","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P124","Rotate perishables and supplies","caregivers shoppers","6","inspect dates restock","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","caregivers shoppers -> labels dates quantity -> none interpretation or deterministic decision -> use-first action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","M","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P125","See recurring waste causes","households","6","record discarded food","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","households -> item reason meal context -> none interpretation or deterministic decision -> waste pattern -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","M","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P126","Detect an outage-related carbon-monoxide cluster for outreach","emergency public-health team","8","emergency public-health team; ED, EMS, poison-centre events","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","emergency public-health team -> emergency public-health team; ED, EMS, poison-centre events -> none interpretation or deterministic decision -> accountable next action -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","8","PARTIAL","HIGH","REGULATED","H/M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P127","Prevent untrained confined-space rescue cascades","entrant/attendant","6","entrant/attendant; gas meter, permit, radio distress","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","entrant/attendant -> entrant/attendant; gas meter, permit, radio distress -> none interpretation or deterministic decision -> accountable next action -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","PARTIAL","HIGH","REGULATED","H/M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P128","Prioritize pipeline SCADA alarm bursts","pipeline controller","6","pipeline controller; alarm/pressure/flow time series","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","pipeline controller -> pipeline controller; alarm/pressure/flow time series -> none interpretation or deterministic decision -> accountable next action -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","PARTIAL","HIGH","REGULATED","H/M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P129","Find recurring false safety alarms","controller","8","controller; alarm IDs, acknowledgements, maintenance records","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","controller -> controller; alarm IDs, acknowledgements, maintenance records -> none interpretation or deterministic decision -> accountable next action -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","8","YES","LOW","NONE","H/M","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
